Dataset: emnist
Number of clients: 5
Number of splits: 100
Number of training rounds: 10
Number of selected clients per round: 3
Server values: 
round, accuracy, accumulated_time
1, 0.27285, 1.6993463039398193
2, 0.301475, 3.3874242305755615
3, 0.522575, 5.162612438201904
4, 0.561325, 6.893157958984375
5, 0.797675, 8.603188037872314
6, 0.793975, 10.330981016159058
7, 0.83485, 11.987908840179443
8, 0.869275, 13.624254703521729
9, 0.872075, 15.308156967163086
10, 0.884225, 16.978456497192383
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.2866666666666667, 1.52
1, 0.30416666666666664, 1.5580000000000003
2, 0.5022499999999999, 1.654
3, 0.7291666666666667, 1.6079999999999999
4, 0.8769166666666666, 1.5899999999999999
5, 0.9240833333333335, 1.5939999999999999
6, 0.9054166666666668, 1.5360000000000003
7, 0.944, 1.5119999999999998
8, 0.9575000000000001, 1.5419999999999998
9, 0.9567499999999999, 1.548
