Dataset: emnist
Number of clients: 2
Number of splits: 100
Number of training rounds: 50
Number of selected clients per round: 2
Server values: 
round, accuracy, accumulated_time
1: 0.285475, 1.2481441497802734
2: 0.363925, 2.5111701488494873
3: 0.3952, 3.796293020248413
4: 0.384375, 5.096005439758301
5: 0.399675, 6.393415212631226
6: 0.4043, 7.599676847457886
7: 0.39995, 8.875372171401978
8: 0.434975, 10.061458587646484
9: 0.4421, 11.299649238586426
10: 0.450825, 12.581119298934937
11: 0.447475, 13.960688591003418
12: 0.438975, 15.22637414932251
13: 0.4457, 16.54412865638733
14: 0.448575, 17.79244637489319
15: 0.4521, 19.04137086868286
16: 0.453975, 20.23526406288147
17: 0.452175, 21.511071920394897
18: 0.4585, 22.753288507461548
19: 0.462425, 23.964792490005493
20: 0.467025, 25.200899362564087
21: 0.465625, 26.428139209747314
22: 0.470025, 27.633352994918823
23: 0.470175, 28.895415544509888
24: 0.467775, 30.1410014629364
25: 0.4811, 31.444716215133667
26: 0.486025, 32.73026371002197
27: 0.502875, 34.01645851135254
28: 0.480075, 35.34810280799866
29: 0.491475, 36.63352632522583
30: 0.5061, 37.891681432724
31: 0.48485, 39.14138054847717
32: 0.5038, 40.383400201797485
33: 0.493225, 41.637662172317505
34: 0.514, 42.93110489845276
35: 0.502775, 44.217989683151245
36: 0.497775, 45.47812008857727
37: 0.5119, 46.771154165267944
38: 0.50555, 48.0540132522583
39: 0.499225, 49.356614112854004
40: 0.520275, 50.67897844314575
41: 0.506625, 51.89302968978882
42: 0.501, 53.12067675590515
43: 0.5148, 54.40624737739563
44: 0.51005, 55.6241180896759
45: 0.513025, 56.863462924957275
46: 0.512075, 58.11057662963867
47: 0.489725, 59.409608125686646
48: 0.509975, 60.67103862762451
49: 0.515025, 61.91823697090149
50: 0.469975, 63.19254660606384
-----------------------------------------------------------------------------
Average client values: 
round, avg_accuracy, avg_time 
0, 0.325, 1.0950000000000002
1, 0.38, 1.15
2, 0.39229166666666665, 1.17
3, 0.4091666666666667, 1.19
4, 0.42833333333333334, 1.18
5, 0.4325, 1.0950000000000002
6, 0.4541666666666667, 1.16
7, 0.4464583333333333, 1.0750000000000002
8, 0.4633333333333333, 1.11
9, 0.483125, 1.16
10, 0.47770833333333335, 1.27
11, 0.4816666666666667, 1.15
12, 0.4654166666666667, 1.2
13, 0.46479166666666666, 1.13
14, 0.4877083333333333, 1.13
15, 0.49166666666666664, 1.08
16, 0.49124999999999996, 1.1549999999999998
17, 0.5072916666666667, 1.13
18, 0.500625, 1.0950000000000002
19, 0.5070833333333333, 1.12
20, 0.5102083333333334, 1.11
21, 0.51125, 1.0950000000000002
22, 0.4977083333333333, 1.14
23, 0.5004166666666666, 1.13
24, 0.516875, 1.19
25, 0.5260416666666667, 1.17
26, 0.5354166666666667, 1.16
27, 0.5129166666666667, 1.19
28, 0.540625, 1.1400000000000001
29, 0.5095833333333333, 1.15
30, 0.5329166666666667, 1.13
31, 0.5504166666666667, 1.12
32, 0.5239583333333333, 1.14
33, 0.5572916666666667, 1.17
34, 0.5385416666666667, 1.17
35, 0.5331250000000001, 1.15
36, 0.5391666666666667, 1.18
37, 0.5675, 1.17
38, 0.5325, 1.1749999999999998
39, 0.5377083333333333, 1.21
40, 0.5706249999999999, 1.1
41, 0.559375, 1.1150000000000002
42, 0.5364583333333333, 1.17
43, 0.5595833333333333, 1.1
44, 0.56625, 1.13
45, 0.5504166666666667, 1.12
46, 0.53, 1.18
47, 0.5510416666666667, 1.14
48, 0.5747916666666666, 1.125
49, 0.499375, 1.1549999999999998
